st01a 64,48 | 32,24 - 32,12*3
st02a 64,48 | 32,24 - 32,12*3
st03a 64,48 | 32,24 - 32,12*3
st04a 64,48 | 32,24 - 32,12*3
st05a 96,48 | 48,24 - 28,12*3 
st06a 312,64| 156,32- 32,12*3
st07a 312,64| 156,32- 32,12*3
st08a 64,64 | 32,32 - 32,12*3
st09a 64,64 | 32,32 - 32,12*3
st10a 224,64| 112,32- 32,12*2
st11a 224,64| 112,32- 32,12*2
st12a 168,72| 84,26 - 24,8*2
st13a 88,88 | 44,44 - 28,16*2
st14a 344,88| 172,44- 28,16*3
st15a 344,88| 172,44- 28,16*3
st16a 304,32| 152,16- 32,12*3
st17a 304,32| 152,16- 32,12*3
st18a 96,24 | 48,12 = 24,12*3
st19a 56,40 | 28,20 - 24,16*3
st20a 344,48| 172,24- 28,20*2
st21a0 192,48| 96,24 -24,16*3
st21a1 272,88| 136,44-28,16*3
st22a 216,56| 108,28 -28,16*3
st23a 88,56| 44,28 -28,12*3
st24a 72,72| 36,36 -32,20*3
st25a 304,40| 152,20 -24,12*2
st26a 72,56| 36,28 -28,12*3
st27a 72,56| 36,28 -28,12*3
st28a 192,72| 96,36- 32,12*2
st29a 232,56| 116,28 -28,16*3
st30a 232,56| 116,28 -28,16*3
st31a 72,48| 36,24 -28,20*3
st32a 72,48| 36,24 -28,20*3
st33a 336,56| 168,28 -28,12*3
st34a 336,56| 168,28 -28,12*3
st35a 224,48| 112,24 -28,16*3
st36a 184,72| 92,36 -32,12*3
st37a 
st38a 312,64| 156,32 -32,12*2
st39a 72,48| 36,24    -28,20*3
st40a 304,32 | 152,16        32,12*3  
