;label autonumbering: label#8=... or label$4 or label$4#8
;x,y,wid,hgt,defaultcolor(0..15 that will be used as ink in empty chr$)
;6912: color 0 in bmp is for mask
;16c: color 16 in bmp is for mask
;formats:
;b: b/w tiles: chrdata...
;B: colour tiles: chrdata...
;s: b/w sprites: wid8, hgt, (antimask, antipixels, ...)
;z: b/w sprites: antipixelsw... (right to left)
;Z: b/w sprites: antipixelsw... (left to right)
;w: b/w sprites: antipixelsw, antimaskw...
;W: b/w image by columns
;[S: colour sprites: wid8, hgt, (antimask, antipixels, ...)]
;T: colour tilepic 28xN (size 0xN00 bytes)
;x: 16c sprite: wid/2,hgt,(column:and,or...),(0x4000-((hgt-1)*40))...,prsprqwid
;L: 16c 16x16 tiles (N of tiles in "defaultcolor"): N of tile for each square
;i: 16c image
;P: DDp palette

orcpope0=x,0,112,16,16
orcpope0step=x,16,112,16,16
orcpope1=x,32,112,16,16
orcpope1step=x,48,112,16,16
orcpope2=x,64,112,16,16
orcpope2step=x,80,112,16,16
orcpope3=x,96,112,16,16
orcpope3step=x,112,112,16,16
orcpope4=x,128,112,16,16
orcpope4step=x,144,112,16,16
orcpope5=x,160,112,16,16
orcpope5step=x,176,112,16,16
orcpope6=x,192,112,16,16
orcpope6step=x,208,112,16,16
orcpope7=x,224,112,16,16
orcpope7step=x,240,112,16,16
orcpope0hit=x,0,128,16,16
orcpope1hit=x,32,128,16,16
orcpope2hit=x,64,128,16,16
orcpope3hit=x,96,128,16,16
orcpope4hit=x,128,128,16,16
orcpope5hit=x,160,128,16,16
orcpope6hit=x,192,128,16,16
orcpope7hit=x,224,128,16,16
orcmage0=x,0,144,16,16
orcmage0step=x,16,144,16,16
orcmage1=x,32,144,16,16
orcmage1step=x,48,144,16,16
orcmage2=x,64,144,16,16
orcmage2step=x,80,144,16,16
orcmage3=x,96,144,16,16
orcmage3step=x,112,144,16,16
orcmage4=x,128,144,16,16
orcmage4step=x,144,144,16,16
orcmage5=x,160,144,16,16
orcmage5step=x,176,144,16,16
orcmage6=x,192,144,16,16
orcmage6step=x,208,144,16,16
orcmage7=x,224,144,16,16
orcmage7step=x,240,144,16,16
orcmage0hit=x,0,160,16,16
orcmage1hit=x,32,160,16,16
orcmage2hit=x,64,160,16,16
orcmage3hit=x,96,160,16,16
orcmage4hit=x,128,160,16,16
orcmage5hit=x,160,160,16,16
orcmage6hit=x,192,160,16,16
orcmage7hit=x,224,160,16,16
