;label autonumbering: label#8=... or label$4 or label$4#8
;x,y,wid,hgt,defaultcolor(0..15 that will be used as ink in empty chr$)
;6912: color 0 in bmp is for mask
;16c: color 16 in bmp is for mask
;formats:
;b: b/w tiles: chrdata...
;B: colour tiles: chrdata...
;s: b/w sprites: wid8, hgt, (antimask, antipixels, ...)
;z: b/w sprites: antipixelsw... (right to left)
;Z: b/w sprites: antipixelsw... (left to right)
;w: b/w sprites: antipixelsw, antimaskw...
;W: b/w image by columns
;[S: colour sprites: wid8, hgt, (antimask, antipixels, ...)]
;T: colour tilepic 28xN (size 0xN00 bytes)
;x: 16c sprite: wid/2,hgt,(column:and,or...),(0x4000-((hgt-1)*40))...,prsprqwid
;L: 16c 16x16 tiles (N of tiles in "defaultcolor"): N of tile for each square
;i: 16c image
;P: DDp palette

orccat0=x,0,0,24,24
orccat0step=x,24,0,24,24
orccat1=x,48,0,24,24
orccat1step=x,72,0,24,24
orccat2=x,96,0,24,24
orccat2step=x,120,0,24,24
orccat3=x,144,0,24,24
orccat3step=x,168,0,24,24
orccat4=x,0,48,24,24
orccat4step=x,24,48,24,24
orccat5=x,48,48,24,24
orccat5step=x,72,48,24,24
orccat6=x,96,48,24,24
orccat6step=x,120,48,24,24
orccat7=x,144,48,24,24
orccat7step=x,168,48,24,24
orccat0hit=x,0,24,24,24
orccat1hit=x,48,24,24,24
orccat2hit=x,96,24,24,24
orccat3hit=x,144,24,24,24
orccat4hit=x,0,72,24,24
orccat5hit=x,48,72,24,24
orccat6hit=x,96,72,24,24
orccat7hit=x,144,72,24,24
