;x,y,wid,hgt,defaultcolor(0..15 that will be used as ink in empty chr$)
;6912: color 0 in bmp is for mask
;16c: color 16 in bmp is for mask
;formats:
;[b: b/w tiles: wid, hgt, data]
;B: colour tiles: wid, hgt, data
;s: b/w sprites: wid8, hgt, (antimask, antipixels, ...)
;[S: colour sprites: wid8, hgt, (antimask, antipixels, ...)]
;T: colour tilepic 28xN (size 0xN00 bytes)
;x: 16c sprite: wid/2,hgt,(column:and,or...),(0x4000-((hgt-1)*40))...,prsprqwid
;P: DDp palette

dragon0=x,0,0,16,16
dragon1=x,16,0,16,16
dragon2=x,32,0,16,16
dragon3=x,48,0,16,16
dragon4=x,64,0,16,16
dragon5=x,80,0,16,16
dragon6=x,96,0,16,16
dragon7=x,112,0,16,16
dragon8=x,128,0,16,16
dragon9=x,144,0,16,16
dragon10=x,160,0,16,16
dragon11=x,176,0,16,16
cursor0=x,192,0,16,16
cursor1=x,208,0,16,16
cursor2=x,224,0,16,16
